lemma,true_lemma,merge,r
Adonis,0,,Adonis
Finis,0,,Finis
Firnis,0,,Firnis
Armanis,0,,Armanis
Tischtennis,0,,chtennis
Leinölfirnis,0,,ölfirnis
Ornis,0,,Ornis
Ereignis,1,,Ereignis
Medienereignis,1,Ereignis,ereignis
Urereignis,1,Ereignis,ereignis
Ergebnis,1,Ergebnis,Ergebnis
Suchergebnis,1,Ergebnis,ergebnis
Wahlergebnis,1,Ergebnis,ergebnis
Nebenergebnis,1,Ergebnis,ergebnis
Zwischenergebnis,1,Ergebnis,ergebnis
Forschungsergebnis,1,Ergebnis,ergebnis
Testergebnis,1,Ergebnis,ergebnis
Erlebnis,1,Erlebnis,Erlebnis
Musikerlebnis,1,Erlebnis,erlebnis
Schlüsselerlebnis,1,Erlebnis,erlebnis
Spielerlebnis,1,Erlebnis,erlebnis
Gruppenerlebnis,1,Erlebnis,erlebnis
Hörerlebnis,1,Erlebnis,erlebnis
Naturerlebnis,1,Erlebnis,erlebnis
Besorgnis,1,,esorgnis
Betrübnis,1,,etrübnis
Fäulnis,1,,Fäulnis
Gelöbnis,1,,Gelöbnis
Hemmnis,1,,Hemmnis
Hindernis,1,,indernis
Bitternis,1,,itternis
Bekenntnis,1,,kenntnis
Sachkenntnis,1,Kenntnis,kenntnis
Unkenntnis,1,Kenntnis,kenntnis
Anerkenntnis,1,,kenntnis
Erkenntnis,1,,kenntnis
Vorkenntnis,1,Kenntnis,kenntnis
Gleichnis,1,,leichnis
Vermächtnis,1,,mächtnis
Finsternis,1,,nsternis
Zwischenzeugnis,1,Zeugnis,nzeugnis
Arbeitsverhältnis,1,Verhältnis,rhältnis
Binnenverhältnis,1,Verhältnis,rhältnis
Eigentumsverhältnis,1,Verhältnis,rhältnis
Lichtverhältnis,1,Verhältnis,rhältnis
Lohnverhältnis,1,Verhältnis,rhältnis
Missverhältnis,1,Verhältnis,rhältnis
Verhältnis,1,,rhältnis
Verhängnis,1,,rhängnis
Vorkommnis,1,,rkommnis
Erlaubnis,1,,rlaubnis
Versäumnis,1,,rsäumnis
Ersparnis,1,,rsparnis
Zerwürfnis,1,,rwürfnis
Erzeugnis,1,,rzeugnis
Einverständnis,1,Verständnis,ständnis
Grundverständnis,1,Verständnis,ständnis
Islamverständnis,1,Verständnis,ständnis
Missverständnis,1,Verständnis,ständnis
Spielverständnis,1,Verständnis,ständnis
Unverständnis,1,Verständnis,ständnis
Verständnis,1,,ständnis
Wagnis,1,,Wagnis
Wildnis,1,,Wildnis
Wirrnis,1,,Wirrnis
Inhaltsverzeichnis,1,Verzeichnis,zeichnis
Unterverzeichnis,1,Verzeichnis,zeichnis
Verzeichnis,1,,zeichnis
Zeugnis,1,,Zeugnis
Ärgernis,1,,Ärgernis
Befugnis,1,,Befugnis
Entscheidungsbefugnis,1,Befugnis,befugnis
Bildnis,1,,Bildnis
Bündnis,1,,Bündnis
Beschwernis,1,,chwernis
Erschwernis,1,,chwernis
Gedächtnis,1,,dächtnis
Bedrängnis,1,,drängnis
Beduerfnis,1,Bedürfnis,duerfnis
Bedürfnis,1,,edürfnis
Gefängnis,1,,efängnis
Begängnis,1,,egängnis
Begräbnis,1,,egräbnis
Behältnis,1,,ehältnis
Geheimnis,1,,eheimnis
Kenntnis,1,,Kenntnis
Erfordernis,1,,ordernis
Empfängnis,1,,pfängnis
Agrarbündnis,1,Bündnis,rbündnis
Militärbündnis,1,Bündnis,rbündnis
Verdammnis,1,,rdammnis
Verderbnis,1,,rderbnis
Zeitersparnis,1,Ersparnis,rsparnis
Säumnis,1,,Säumnis
Linksbündnis,1,Bündnis,sbündnis
Geschehnis,1,,schehnis
Eingeständnis,1,,ständnis
Geständnis,1,,ständnis
Zugeständnis,1,,ständnis
Tyrannis,1,,Tyrannis
Kümmernis,1,,ümmernis
Bewandtnis,1,,wandtnis
