sfx,mean_freq_ratio,mean_log_freq_ratio,semrel_prob,mean_junc_prob,n_tokens,n_types,entropy
-age,240.15709832188307,0.9018311448159577,0.7480420561026666,0.0017623822903554294,1403,14,1.9018441756530904
-ament,0.05993879221989772,-4.032369557940986,0.69348977087,0.006010629444694104,4452,3,1.1474127487775143
-and,0.9479415744143066,-0.8112461491538754,0.833429020156,0.0029029477499137074,37,4,1.2835511773537776
-ant,73.31198859662436,1.7153242154936896,0.8046646009044139,0.0036246262414431243,8137,66,4.044952220948979
-anz,42.97657839654513,0.7896140568173482,0.8579744253959166,0.0033833651271138977,5300,16,2.3138069631858915
-ateur,877.290151444587,4.903978581675814,0.8646837091738,0.0030885565085716684,13671,71,2.905207096636179
-ation,2.6937127143092843,-1.2182148846053507,0.935052464554253,0.0027372637337987867,15824,221,5.371833547460561
-ator,84.80695080087537,1.7273501293687612,0.800832184073762,0.002619342262142813,16585,119,4.792288541093251
-atur,66.80624479482955,1.3246513480825686,0.7686928807765,0.0033947791201498607,4826,16,2.3921259040595464
-eA,34.65345486159889,1.7996205345472662,0.9104194399498733,0.011912358580812382,754,33,4.241451709418223
-el,23.88725910495116,-1.2843384752762053,0.7688677127872104,0.006767570762262958,7592,115,4.874911300274579
-ement,1.2935102477099842,-0.3653703907990466,0.8822062939555,0.005504259967884623,6351,7,0.9676991530301021
-end,1328.0141868330911,4.815287118467734,,0.0028717320545911143,88,11,1.5715661869346615
-ent,155.3074411413208,-0.7648739103963067,0.9011995552364547,0.008566680720296753,11145,27,3.426437846686157
-enz,199.29992273635196,-1.9793469266055819,0.9170882029366665,0.008033739558583853,7592,17,2.9018336962197258
-er,212.3319849195572,1.0302330762151053,0.8111611984258416,0.006968910876802278,9252,751,7.841040850484351
-eur,24.01950234109407,0.5630856411911224,0.8439438537906665,0.008902719765872782,3225,26,3.4300246633677642
-eV,3.548786531152864,-1.6568335069644837,0.7486823510032321,0.008029399974527323,5222,185,6.10163871091269
-heit,206.97993026202167,2.3334481719503914,0.9655582889979547,5.290957089568261e-05,19835,1099,6.941749956658082
-ie,279.7563697357478,-0.06040202041449389,0.9671678621538494,0.003598067662798868,9155,300,5.905187684476804
-iker,235.5011816573965,2.6660606806317566,0.9153548031837,0.004163310536021748,19371,147,4.327017762691347
-ikum,1184.1162349704184,3.7070352098750226,0.8241494114466363,0.0033730495208718673,7870,62,2.553448857605751
-ik,177.64813215395367,0.9479851689977491,0.9724766388112682,0.004862586793426732,17999,176,4.761169799347585
-iment,0.3887675928285066,-1.1665621660736285,0.8203151222614999,0.0011986652999514994,12305,2,0.8737635814487137
-ismus,1018.7089355575018,3.0180495916241092,0.8130583507667848,0.004528059160496031,17334,361,6.037877367923625
-ist,784.7754373725033,2.9406028344003214,0.7891376948115114,0.004171841586313155,15088,286,5.610600299232221
-itaet,166.5572260469386,2.0659384382906807,0.9394249455600333,0.004381200081991771,10837,168,5.5039516873689776
-iteur,2003.3873873873874,4.2664963597165135,,0.00867133928961769,501,3,0.07358774697041859
-ition,0.46005124338697606,-2.8684914903018988,0.8975618620316921,0.026402924285094845,16758,16,2.906951477835588
-itur,57.49200366533381,0.9322439193776736,0.867835781458,0.006717091672684088,11240,4,1.179114896156256
-ium,27.88619094845982,0.4891839502929995,0.9061715387149819,0.044889642846021295,5171,19,1.8571727610793096
-ling,904.1796442717513,3.360327874265994,0.716892301342091,0.0006603549881473405,14833,73,4.532231576551667
-nis,18.717618627158135,0.21861020703021788,0.800322194292348,0.00018033957363517122,19119,53,4.2030078529533235
-schaft,4417.826055764179,3.9070253476990264,0.8910356732082668,0.0017889462146103564,19197,156,4.5129069477475925
-ung,435.9571983023827,-0.7302747011193457,0.9366388530727976,0.0019433473082317789,18927,1436,8.838754795424988
